,cleaned_tweet,polarity,subjectivity,Sentiment,date,username,Base_tweet,hashtags,nlikes,search
21,bank millions clients sure extract minimal responses surveys,0.2,0.7444444444444445,Positive,2021-08-18 16:57:55,Burgerm08177461,@StandardBankZA For a bank of millions of clients you sure extract minimal responses to your surveys,[],0,"StandardBankZA OR ""Standard Bank"""
22,lotto app working,0.0,0.0,Neutral,2021-08-18 16:56:50,Meesha1112,@StandardBankZA Lotto app not working.,[],0,"StandardBankZA OR ""Standard Bank"""
23,,0.0,0.0,Neutral,2021-08-18 16:54:24,nyamugigi,@StandardBankZA All of the above,[],0,"StandardBankZA OR ""Standard Bank"""
24,,0.0,0.0,Neutral,2021-08-18 16:50:58,Lyndacomps,@StandardBankZA #ItCanBe,['itcanbe'],0,"StandardBankZA OR ""Standard Bank"""
25,capitecr tyme bank standard bank,0.0,0.0,Neutral,2021-08-18 16:50:46,AyabongaLugaju,@MfokaMqulusi Capitec:R198 Tyme bank:60 Standard bank:56 😔😔😔😔,[],0,"StandardBankZA OR ""Standard Bank"""
26,please customer service email,0.0,0.0,Neutral,2021-08-18 16:47:42,Khukhulela045,@StandardBankZA My I please have customer service email,[],0,"StandardBankZA OR ""Standard Bank"""
27,yah neh say people stubborn im walking pnp long ass line capitecthe standard bank right next empty,0.027142857142857142,0.28714285714285714,Positive,2021-08-18 16:43:03,MsMotso_,"Yah neh, when they say some people are stubborn 😑 I'm walking to PnP and there's a long ass line at Capitec....the standard bank right next to it is empty.",[],0,"StandardBankZA OR ""Standard Bank"""
28,partnering fintechs retailers even competitors standard bank sees future,0.0,0.0625,Neutral,2021-08-18 16:40:51,business_see,"Partnering with fintechs, retailers and even competitors: How Standard Bank sees the future  https://t.co/6t0LPeVJQX",[],0,"StandardBankZA OR ""Standard Bank"""
29,partnering fintechs retailers even competitors standard bank sees future,0.0,0.0625,Neutral,2021-08-18 16:40:50,athi_ngubs,"Partnering with fintechs, retailers and even competitors: How Standard Bank sees the future  https://t.co/t5jIsr1caQ",[],0,"StandardBankZA OR ""Standard Bank"""
30,thank amp easy quick process,0.3833333333333333,0.6666666666666667,Positive,2021-08-18 16:27:36,ZikhonaPK,Thank you @BankingZA &amp; @StandardBankZA what an easy and quick process #Yourhealthmatters  https://t.co/tfPpHeSB5m,['yourhealthmatters'],3,"StandardBankZA OR ""Standard Bank"""
31,yeah sounds bad best though,0.15000000000000008,0.4833333333333333,Positive,2021-08-18 16:16:14,Lucasmakh,@NgobeniIke @FNBSA @StandardBankZA @Rbjacobs Yeah that sounds bad. All the best though,[],1,"StandardBankZA OR ""Standard Bank"""
32,think mine bad coz took month deliver bank card happened consecutive month clown representing bank comes play smart yet failed dismally answer questions next tweet will emails thread,-0.24642857142857139,0.4023809523809524,Negative,2021-08-18 16:09:08,NgobeniIke,@Lucasmakh @FNBSA @StandardBankZA I think mine is bad coz it took them a month to deliver 1 bank card and it happened in 2 consecutive month. And a clown representing that bank @Rbjacobs comes here and play smart yet he failed dismally to answer such questions.  My next tweet will be our emails on this thread,[],0,"StandardBankZA OR ""Standard Bank"""
33,call center agent always standard bank gauteng,-0.05,0.05,Negative,2021-08-18 16:06:07,Bhekala1,Call Center Agent Always On - Standard Bank - Gauteng  https://t.co/0QANDyT602 #CV #joblinks,"['cv', 'joblinks']",0,"StandardBankZA OR ""Standard Bank"""
34,investment savings account access amount emergency use savings will cater emergency matters,0.0,0.0,Neutral,2021-08-18 16:06:02,MansOpinions,@StandardBankZA Investment savings account. I would also like to access the amount for emergency use.  . I would like it to be savings that will cater for emergency matters.,[],0,"StandardBankZA OR ""Standard Bank"""
35,wait almost hours collect card,0.0,0.0,Neutral,2021-08-18 16:04:08,d3cdupreez,@StandardBankZA Having to wait for almost 2 hours just to collect a card.,[],0,"StandardBankZA OR ""Standard Bank"""
36,guys instant money standard bank need urgent,0.0,0.3333333333333333,Neutral,2021-08-18 15:58:33,MagoloAyizinku1,"Guys how to do instant money from standard Bank I need it, it's urgent",[],0,"StandardBankZA OR ""Standard Bank"""
37,standard bank mobile services want take offer qualify fori received calls thingi tired explaining standard bank needs stop harassing,-0.13333333333333333,0.2333333333333333,Negative,2021-08-18 15:55:50,_Londz,@StandardBankZA Standard bank mobile services want me to take the an offer that I ' qualify' for.i have received more than 5 calls about the same thing.i am tired of explaining. standard bank needs to stop harassing me.,[],0,"StandardBankZA OR ""Standard Bank"""
38,theyre useless dont package private banker now waste money cant downgrade without getting whole new set cards urgh,-0.07272727272727272,0.2859090909090909,Negative,2021-08-18 15:49:33,GuyFowle,"@InshallahAmeena @FNBSA @StandardBankZA @StandardBankZA They're useless, that's why. DON'T get a package with a private banker. Now THAT is a waste of money and you can't downgrade without getting a whole new set of cards. Urgh.",[],0,"StandardBankZA OR ""Standard Bank"""
39,permission chinese first going take please patient earliest,0.125,0.16666666666666666,Positive,2021-08-18 15:42:32,Chicken82635219,@InshallahAmeena @FNBSA @StandardBankZA @StandardBankZA They have to get permission from the Chinese first. 🤣 It's going to take a while - please be patient. 2022 at the earliest.,[],0,"StandardBankZA OR ""Standard Bank"""
40,standard bank mobile call center will harass,-0.05,0.05,Negative,2021-08-18 15:42:13,Gert_LeNinja,Standard Bank Mobile call center will harass you.,[],0,"StandardBankZA OR ""Standard Bank"""
41,people harrasing mehow many times tell sales agent want offers everyday ngikhuluma isingis ngiyachaza becoming toxic,0.2125,0.48750000000000004,Positive,2021-08-18 15:41:29,_Londz,@StandardBankZA Why are your people harrasing me..how many times can I tell a sales agent that I do not want your offers..😠  everyday ngikhuluma isingis ngiyachaza. You are becoming toxic.  https://t.co/neYLmeUii6,[],0,"StandardBankZA OR ""Standard Bank"""
42,wife still waiting money paid february courts said must open trust account standard bank,0.0,0.25,Neutral,2021-08-18 15:40:39,KSundawana,@MbalulaFikile @kaNtu_uNtsundu My wife is still waiting for her money to be paid since February when the courts said she must open a trust account with standard bank..,[],0,"StandardBankZA OR ""Standard Bank"""
43,library lounge tambo opened plan opening,0.0,0.0,Neutral,2021-08-18 15:37:22,dlams1234,@StandardBankZA is the library lounge at or tambo opened? If not when do you plan on opening?,[],0,"StandardBankZA OR ""Standard Bank"""
44,eeh hai life unfair said,-0.5,1.0,Negative,2021-08-18 15:31:31,phalyst,@SlwaneToYou @110_percent_ @Blcktyde @StandardBankZA Eeh Hai life is unfair they said🤣🤣,[],0,"StandardBankZA OR ""Standard Bank"""
45,eish couldve told year ago instead made go standard bank cause high interest rate,0.08,0.26999999999999996,Positive,2021-08-18 15:31:19,jason_seekoei,"Eish, could've told me this a year ago... Instead they made we go with standard bank cause of their high interest rate 😋",[],0,"StandardBankZA OR ""Standard Bank"""
46,standard bank gold ovation winner taking front page news ct,0.0,0.0,Neutral,2021-08-18 15:24:11,artsfestival,Standard Bank Gold Ovation winner @ChadleighGowar taking the front page news in CT! #standardbankovations @StandardBankArt 🙌🏾,['standardbankovations'],2,"StandardBankZA OR ""Standard Bank"""
47,doesnt care customers,0.0,0.0,Neutral,2021-08-18 15:23:28,Fudge1018,@StandardBankZA doesn't care about their customers 🤞🏽,[],0,"StandardBankZA OR ""Standard Bank"""
48,toekenning vir gowar standard bank gold ovation award winner chadleigh gowar show gone forgotten gone forgotten available august,0.2,0.2,Positive,2021-08-18 15:21:56,ChadleighGowar,"""Toekenning vir Gowar""  Standard Bank Gold Ovation Award Winner Chadleigh Gowar for his show... Gone But Not Forgotten at the @artsfestival  ""Gone But Not Forgotten is available up until 31 August 2021""  https://t.co/CkOixEbCU5  #tygerburger #gonebutnotforgotten #SouthAfrica #art  https://t.co/Qb0hX2lA3I","['tygerburger', 'gonebutnotforgotten', 'southafrica', 'art']",1,"StandardBankZA OR ""Standard Bank"""
49,call center agent always standard bank gauteng,-0.05,0.05,Negative,2021-08-18 15:07:11,Bhekala1,Call Center Agent Always On - Standard Bank - Gauteng  https://t.co/a5DU7gSgrD #joblinks #jobs,"['joblinks', 'jobs']",0,"StandardBankZA OR ""Standard Bank"""
50,standard bank,0.0,0.0,Neutral,2021-08-18 15:03:29,taghreedkaa,الموقع ⬇️   Standard Bank  https://t.co/X9fVhlZYuk,[],0,"StandardBankZA OR ""Standard Bank"""
51,sponsored join us thursday august live webcast standard bank group interim results info amp registration,0.06818181818181818,0.25,Positive,2021-08-18 15:00:02,BDliveSA,SPONSORED | Join us on Thursday August 19 from 10am for a live webcast of Standard Bank Group's interim results. More info &amp; registration here:  https://t.co/48AdX4K42m  https://t.co/OqS8XRpyH0,[],0,"StandardBankZA OR ""Standard Bank"""
52,took months dont forget send email bond cancelationmy colleague didnt acc remained open amp owes bank rkmade follow calls ampemails requested target datesi got refund forthe money continued paying bond registered,0.0,0.5,Neutral,2021-08-18 14:52:11,Shado53612812,"@110_percent_ @SlwaneToYou @Blcktyde @StandardBankZA It took 3 months  with @Standardbank don't forget to send an email for bond cancelation,my colleague didn't the Acc remained open &amp; she owes the bank R100k,made follow up calls &amp;emails, requested target dates.I got refund forthe money I continued paying while bond was registered",[],1,"StandardBankZA OR ""Standard Bank"""
53,katika swolava hiya posweni,0.0,0.0,Neutral,2021-08-18 14:48:27,hasani07leonard,@NgobeniIke @FNBSA @StandardBankZA Katika swolava hiya posweni,[],1,"StandardBankZA OR ""Standard Bank"""
54,want add savings account usingvia sell phone app will amount save gain interests,0.0,0.0,Neutral,2021-08-18 14:48:21,MansOpinions,@StandardBankZA I want to add savings account using/via my sell phone app. Will the amount I save gain interests?,[],0,"StandardBankZA OR ""Standard Bank"""
55,keeping hostage standard bank,0.0,0.0,Neutral,2021-08-18 14:46:29,Zani_M,@klaas40267353 It's keeping me hostage there by standard bank 🙆🏾‍♀️🙆🏾‍♀️😂....,[],0,"StandardBankZA OR ""Standard Bank"""
56,side ya standard bank,0.0,0.0,Neutral,2021-08-18 14:39:25,BoipeloMothibi_,@thabo_rakzy Side ya standard bank,[],0,"StandardBankZA OR ""Standard Bank"""
57,option hosi less banking challenges,-0.16666666666666666,0.06666666666666667,Negative,2021-08-18 14:37:02,ErnestMabas,@NgobeniIke @RhandzuOptimus @FNBSA @StandardBankZA @Capitec is also an option hosi with less banking challenges.,[],0,"StandardBankZA OR ""Standard Bank"""
58,sorry hear fnb best years guess assisted incompetent people point gonna inconvenience,0.05000000000000001,0.5555555555555556,Positive,2021-08-18 14:32:06,Lucasmakh,"@NgobeniIke @FNBSA @StandardBankZA Sorry to hear that, fnb has been the best  for me all these years but I guess you get to be assisted by incompetent people at some point then that's gonna inconvenience you.",[],0,"StandardBankZA OR ""Standard Bank"""
59,,0.0,0.0,Neutral,2021-08-18 14:28:34,AmandaNdzimanda,@StandardBankZA #SBFamily#PureSave,[],0,"StandardBankZA OR ""Standard Bank"""
60,hate customers,-0.8,0.9,Negative,2021-08-18 14:18:43,d3cdupreez,Why does @StandardBankZA hate its customers so?,[],0,"StandardBankZA OR ""Standard Bank"""
61,dont want nasty experience proves prefer im waiting queue basic service lasted mins capitec banking really become simpler efficient,-0.12499999999999999,0.33125,Negative,2021-08-18 14:07:55,Truebz,I dont want to be nasty. But my experience with @StandardBankZA proves why I prefer @CapitecBankSA. I'm waiting in a queue for a basic service that would otherwise have lasted me no more than 5mins at Capitec. Banking should really become simpler and more efficient.,[],0,"StandardBankZA OR ""Standard Bank"""
62,donate education support program account name gift givers foundation account number bank standard bank branch pietermaritzburg branch code,0.0,0.0,Neutral,2021-08-18 13:56:29,GiftEast,Donate to our Education Support Program:  Account Name: Gift of the Givers Foundation Account Number: 052278611 Bank: Standard Bank Branch: Pietermaritzburg Branch Code: 057525,[],0,"StandardBankZA OR ""Standard Bank"""
63,excuses speciality took weeks adjust account,0.0,0.0,Neutral,2021-08-18 13:55:34,RhandzuOptimus,"@NgobeniIke @FNBSA @StandardBankZA Excuses is their speciality, it took them 8 weeks to adjust  my account.",[],0,"StandardBankZA OR ""Standard Bank"""
64,standard bank polokwane library gardens opens doors public seamless accessfor full storyvisit,0.11249999999999999,0.1791666666666667,Positive,2021-08-18 13:53:22,Social1Tv,Standard Bank Polokwane Library Gardens opens its doors to public for seamless access.For the full story.visit:  https://t.co/Bxs0MZ97bD @StandardBankZA  https://t.co/hwBXGIMpvZ,[],0,"StandardBankZA OR ""Standard Bank"""
65,mean took full month deliver mere bank card next month thing happened came lousy excuse,-0.16874999999999998,0.3812499999999999,Negative,2021-08-18 13:53:12,NgobeniIke,"@RhandzuOptimus @FNBSA @StandardBankZA I mean, it took them 1 full month to deliver a mere bank card. The next month the same thing happened again until they came with some lousy excuse",[],1,"StandardBankZA OR ""Standard Bank"""
66,know struggle well,0.0,0.0,Neutral,2021-08-18 13:50:59,RhandzuOptimus,"@NgobeniIke @FNBSA @StandardBankZA I have been there, I know that struggle very well.  https://t.co/yV4GNuyGUs",[],1,"StandardBankZA OR ""Standard Bank"""
67,thanks still complicated will call maybe time will agent explain simple terms,-0.09999999999999999,0.5190476190476191,Negative,2021-08-18 13:47:28,P_Marubz,@StandardBankZA Thanks I have and its still so complicated. I will call them again. Maybe this time I will get an agent that can explain it in simple terms.,[],0,"StandardBankZA OR ""Standard Bank"""
68,many times,0.5,0.5,Positive,2021-08-18 13:41:33,Vhiririb,@StandardBankZA How many times should I do that ?,[],0,"StandardBankZA OR ""Standard Bank"""
69,thanks long conversation olivia complaints department let call day now cheers,0.07500000000000001,0.30000000000000004,Positive,2021-08-18 13:38:15,Bamburi,@StandardBankZA Thanks. I have had a long conversation with Olivia from the complaints department. Let's call it a day for now. Cheers,[],0,"StandardBankZA OR ""Standard Bank"""
70,standard bank united brothers cricket club press officer vusi gonya says club hope hosting first golf day will help overcome challenges facing new season beckons,0.12878787878787878,0.2626262626262626,Positive,2021-08-18 13:35:39,HeraldNMB,Standard Bank United Brothers Cricket Club press officer Vusi Gonya says the club hope the hosting of their first golf day will help them overcome some of the challenges they are facing as the new season beckons.  https://t.co/Jmgbxl8tCD,[],1,"StandardBankZA OR ""Standard Bank"""
71,thank today got new contacts amp potential business partners business summit amp contact creating new platform within standard bank bb platform please dm contact details assistance thank,0.06818181818181818,0.4772727272727273,Positive,2021-08-18 13:35:10,ZizweMabece,@StandardBankZA Thank you for today.. Got new contacts &amp; potential business partners from the Business Summit.. &amp; who can I contact for creating a new platform within Standard Bank??? a B2B platform?? Please DM contact details for further assistance. Thank you.,[],0,"StandardBankZA OR ""Standard Bank"""
72,still cant tell remain bank choice incompetent people ones think saw door opened,-0.35,0.3666666666666667,Negative,2021-08-18 13:35:04,NgobeniIke,So @FNBSA still can't tell why they should remain my bank of choice. Very incompetent people these ones. I think I saw @StandardBankZA door opened 🤔,[],32,"StandardBankZA OR ""Standard Bank"""
73,,0.0,0.0,Neutral,2021-08-18 13:26:49,Gavin_Dintwa,@StandardBankZA #ItCanBe  #SBFamily #StandardBank #PureSave  @StandardBankZA  https://t.co/RtgBIuYsT4,"['itcanbe', 'sbfamily', 'standardbank', 'puresave']",0,"StandardBankZA OR ""Standard Bank"""
74,standard bank will attending virtual general career fair aug will running exciting competition enter winners will announced company presentation attend presentation,0.2625,0.55,Positive,2021-08-18 13:19:16,UJCareerService,Standard Bank will be attending the Virtual General Career Fair on 19 Aug.  They will be running an exciting competition. Enter here:  https://t.co/GaUvizLO0Q  The winners will be announced at their company presentation!!  Attend their presentation here:  https://t.co/ZIlyn4uL3Y  https://t.co/oRZmVOekji,[],1,"StandardBankZA OR ""Standard Bank"""
75,dear early mean,-0.10625,0.49375,Negative,2021-08-18 13:17:04,Amaru24,Dear @StandardBankZA what does early 2021 mean?  https://t.co/tblhLGAwmE,[],0,"StandardBankZA OR ""Standard Bank"""
76,standard bank launches business banking awards worth million granting funds via,0.15,0.05,Positive,2021-08-18 13:16:38,Scumezza,Standard Bank launches Business Banking Awards worth R4.5 million in granting funds  https://t.co/14qcsA3X6P via @businesstechSA,[],0,"StandardBankZA OR ""Standard Bank"""
77,,0.0,0.0,Neutral,2021-08-18 13:15:27,Iamtiaantjie,@StandardBankZA #ItCanBe,['itcanbe'],0,"StandardBankZA OR ""Standard Bank"""
78,try absa apply something online theyll send branch something branch wont able help beyond go back online inbank staff hands tied two different banks,0.16666666666666666,0.4083333333333334,Positive,2021-08-18 13:09:48,dthompsonza,"@uastronomer @Bamburi @StandardBankZA Try Absa where if you apply for something Online they'll send you to the branch for something but the branch wont be able to help you beyond that and you have to go back Online. The in-bank staff are ""hands tied"", it's like two different banks.",[],1,"StandardBankZA OR ""Standard Bank"""
79,call center agent always standard bank gauteng,-0.05,0.05,Negative,2021-08-18 13:07:27,Bhekala1,Call Center Agent Always On - Standard Bank - Gauteng  https://t.co/10TjrYe5iS #resume #jobs,"['resume', 'jobs']",0,"StandardBankZA OR ""Standard Bank"""
80,yazi dont know continue using standard bank headache headache,0.0,0.0,Neutral,2021-08-18 13:02:46,Vuyolwetu_,Yazi I don't know why we continue using Standard Bank when it's headache after headache 😭,[],0,"StandardBankZA OR ""Standard Bank"""
81,liaise colleagues will tell guys promised resolve matter two weeks today still giving excuses thats pathetic,-1.0,1.0,Negative,2021-08-18 13:00:47,Vhiririb,"@StandardBankZA If you liaise with your colleagues will tell you, you guys promised to resolve the matter two weeks but it today still giving excuses that’s pathetic",[],0,"StandardBankZA OR ""Standard Bank"""
82,oviaaaas skeem,0.0,0.0,Neutral,2021-08-18 12:57:59,heiskabelo_,@StandardBankZA Oviaaaas skeem! #LetsPush,['letspush'],1,"StandardBankZA OR ""Standard Bank"""
83,shame marketing managers shielded call centres never hear customer lived experience products,0.0,0.0,Neutral,2021-08-18 12:57:46,Bamburi,@StandardBankZA It's a shame that marketing managers are shielded by call centres and never get to hear customer's lived experience of their products,[],0,"StandardBankZA OR ""Standard Bank"""
84,ucount system messaging complicated unclear please hire marketing team need simpler messaging product,-0.5,1.0,Negative,2021-08-18 12:57:35,P_Marubz,"@StandardBankZA why is your Ucount system and messaging so complicated and unclear. Please hire me on your marketing team, you need simpler messaging for this product 😉",[],0,"StandardBankZA OR ""Standard Bank"""
85,yes disastrous results unhelpful stuck authentication unable move without told suburb postcode use unable realise call complaint poor disclosure request service,-0.48,0.52,Negative,2021-08-18 12:56:41,Bamburi,"@StandardBankZA Yes. With disastrous results. Very unhelpful. Stuck on 'authentication,' being unable to move on without being told where my suburb is (postcode no use?), and unable to realise my call was a complaint about poor disclosure, not a request for service",[],0,"StandardBankZA OR ""Standard Bank"""
86,whose using fnb maybe amount enough buy groceries whole month im absa capitec standard bank,0.06666666666666667,0.3,Positive,2021-08-18 12:54:46,Malusi43334413,"Whose using FNB? Maybe this amount would enough for him or her to buy groceries for the whole month 🤔🤔, I'm Absa, Capitec and Standard Bank  https://t.co/3qcWHrYkJ0",[],48,"StandardBankZA OR ""Standard Bank"""
87,,0.0,0.0,Neutral,2021-08-18 12:52:41,Jeremia01497130,@StandardBankZA  https://t.co/7QUESs05Q4,[],0,"StandardBankZA OR ""Standard Bank"""
88,zo mahopo journalist works public relations awarded standard bank sikuvile journalism award story deplorable state bathrooms gauteng township schools zo mahopo facebook,-0.19999999999999998,0.32222222222222224,Negative,2021-08-18 12:46:33,brieflyza,"Zoë Mahopo is a journalist who also works in public relations. In 2016, she was awarded the Standard Bank Sikuvile Journalism Award for a story about the deplorable state of bathrooms in Gauteng township schools. 👏👏👏 #RiseTheUnderdog   📸: Zoë Mahopo (Facebook)  https://t.co/dD0nEX2bI2",['risetheunderdog'],2,"StandardBankZA OR ""Standard Bank"""
89,must provide id numbers,0.0,0.0,Neutral,2021-08-18 12:40:41,Yolandi43499919,@947 @StandardBankZA Why must we provide our id numbers,[],0,"StandardBankZA OR ""Standard Bank"""
90,im going let rest now said start experience dire still strongly recommend anybody interested avoid plague thanks patience overall customer service today poor see tweets,0.09666666666666665,0.4066666666666666,Positive,2021-08-18 12:33:04,Bamburi,@StandardBankZA 😂 I'm going to let you rest now. I said at the start my experience with #UCount has been dire. It still is. I would strongly recommend anybody interested in it to avoid it like the plague. Thanks for your patience but overall customer service today has been poor {see all tweets},['ucount'],0,"StandardBankZA OR ""Standard Bank"""
91,allow add points locked scheme,0.0,0.0,Neutral,2021-08-18 12:26:09,Bamburi,@StandardBankZA Allow me to add I have more than 14000 points locked up in this scheme,[],0,"StandardBankZA OR ""Standard Bank"""
92,incompetence standard bank beyond payment gets cleared matching bank account number beneficiary name,0.0,0.0,Neutral,2021-08-18 12:26:08,Vhiririb,"Incompetence of standard bank it’s beyond me , how can a payment gets cleared with no matching bank account number and beneficiary name @StandardBankZA",[],0,"StandardBankZA OR ""Standard Bank"""
93,im even country im still getting better service sa bank say prone complain team really deserves credit disclaimer banks ive used nedbank absa amp fnb,0.35,0.35,Positive,2021-08-18 12:25:58,Zetsaid,"I’m not even in the country and I’m still getting better service from @StandardBankZA than I have ever had from any other SA bank.  I say this because we’re prone to just complain, and their team really deserves credit.  Disclaimer: “other banks” I’ve used are Nedbank, ABSA &amp; FNB",[],0,"StandardBankZA OR ""Standard Bank"""
94,supposed done th aug tried kept getting error omething went wrong fetching info display app,-0.5,0.9,Negative,2021-08-18 12:25:12,Tr0llingmachine,"@StandardBankZA Was supposed to be done by the 6th of Aug, tried doing it but kept getting the error 'something went wrong' when fetching the info to display on the app.",[],0,"StandardBankZA OR ""Standard Bank"""
95,yes,0.0,0.0,Neutral,2021-08-18 12:24:12,Tr0llingmachine,@StandardBankZA Yes I did.,[],0,"StandardBankZA OR ""Standard Bank"""
96,im intrigued unilaterally put block card without attempting notify yet time try sell new product know exactly reach make make sense,-0.03787878787878788,0.4681818181818182,Negative,2021-08-18 12:21:42,Nomonde_N,"@StandardBankZA I'm intrigued at how you can unilaterally put a block on my card without attempting to notify me, and yet, when its time to try and sell me a new product you know exactly how to reach me. Make it make sense?!",[],0,"StandardBankZA OR ""Standard Bank"""
